"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Url","Mins_Per_90","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG_minus_GA","per_90","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","OPA_Sweeper","OPA_Sweeper_per_90","AvgDist_Sweeper","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xA","A_minus_xA","KP","Final_Third","PPA","CrsPA","Prog"
2022,"Aston Villa","Premier League","Emiliano Martínez","ARG","GK","29-214",1992,"https://fbref.com/en/players/7956236f/Emiliano-Martinez",29,29,29,2610,29,39,1.34,108,73,66.7,11,3,15,9,31,5,3,1,1,25,39,3,2,5,2,31.4,0.26,-5.6,-0.19,163,395,41.3,667,114,43.6,37.9,228,45.6,39.8,228,12,5.3,23,0.79,14.4,653,895,73,19349,11054,128,129,99.2,291,291,100,231,471,49,0,0,0,0,11,0,0,0
2022,"Aston Villa","Premier League","Jed Steer","ENG","GK","29-193",1992,"https://fbref.com/en/players/a8a3d139/Jed-Steer",1,1,1,90,1,3,3,4,1,25,0,0,1,0,0,0,0,0,0,NA,3,0,0,0,0,1.8,0.45,-1.2,-1.2,5,13,38.5,30,6,30,34.4,6,66.7,53.8,8,1,12.5,1,1,14.3,27,36,75,759,560,2,2,100,16,16,100,9,18,50,0,0,0,0,0,0,0,0
2022,"Atalanta","Serie A","Francesco Rossi","ITA","GK","30-342",1991,"https://fbref.com/en/players/7b5f516f/Francesco-Rossi",0.4,1,0,37,0.4,1,2.43,2,1,50,0,0,0,0,NA,0,0,0,0,NA,1,0,0,0,0,1.2,0.59,0.2,0.46,2,7,28.6,12,0,41.7,42,4,50,54,3,0,0,0,0,14,11,16,68.8,313,209,2,2,100,7,7,100,2,7,28.6,0,0,0,0,0,0,0,0
2022,"Atalanta","Serie A","Juan Musso","ARG","GK","27-333",1994,"https://fbref.com/en/players/a111cf41/Juan-Musso",25.6,26,26,2302,25.6,30,1.17,87,58,66.7,14,6,6,8,30.8,2,1,0,1,0,30,1,0,2,1,25.4,0.29,-3.6,-0.14,129,305,42.3,564,118,32.4,34,169,72.2,52.6,168,13,7.7,20,0.78,15.4,537,733,73.3,16530,9678,81,83,97.6,228,231,98.7,226,416,54.3,0,0,0,0,3,0,0,0
2022,"Atalanta","Serie A","Marco Sportiello","ITA","GK","29-329",1992,"https://fbref.com/en/players/ac4003af/Marco-Sportiello",4,4,4,360,4,3,0.75,9,8,88.9,0,3,1,2,50,2,2,0,0,0,3,2,0,1,0,3.3,0.17,0.3,0.08,16,42,38.1,84,21,27.4,30.5,23,82.6,56.6,21,2,9.5,4,1,12.3,78,107,72.9,2225,1193,6,6,100,43,44,97.7,27,54,50,0,0,0,0,0,0,0,0
2022,"Athletic Club","La Liga","Julen Agirrezabala","ESP","GK","21-099",2000,"https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala",4,4,4,360,4,5,1.25,20,15,75,1,2,1,1,25,0,0,0,0,NA,5,0,0,0,0,4.6,0.25,-0.4,-0.1,10,31,32.3,56,10,37.5,36.8,26,38.5,38.3,35,2,5.7,5,1.25,17.3,61,82,74.4,1695,1037,14,14,100,30,30,100,16,37,43.2,0,0,0,0,1,0,0,0
2022,"Athletic Club","La Liga","Unai Simón","ESP","GK","24-297",1997,"https://fbref.com/en/players/5dcf3e90/Unai-Simon",26,26,26,2340,26,24,0.92,80,55,73.8,10,9,7,9,34.6,3,3,0,0,0,24,3,0,2,1,22.6,0.26,-0.4,-0.01,132,296,44.6,525,141,41,36.6,177,45.8,41.7,269,17,6.3,19,0.73,15.5,527,702,75.1,15778,9914,86,86,100,258,261,98.9,181,352,51.4,0,0,0,1,11,0,0,0
2022,"Atlético Madrid","La Liga","Jan Oblak","SVN","GK","29-087",1993,"https://fbref.com/en/players/ee8508c0/Jan-Oblak",30,30,30,2700,30,37,1.23,72,41,55.6,17,6,7,9,30,6,5,1,0,16.7,37,5,1,3,2,26,0.29,-9,-0.3,152,490,31,638,114,54.9,43.7,206,68,51.2,238,17,7.1,12,0.4,13.7,495,844,58.6,16524,10576,73,74,98.6,193,196,98.5,226,571,39.6,0,0,0,0,9,1,0,0
2022,"Augsburg","Bundesliga","Rafal Gikiewicz","POL","GK","34-160",1987,"https://fbref.com/en/players/17376543/Rafal-Gikiewicz",27,27,27,2430,27,44,1.63,125,82,66.4,7,8,12,8,29.6,2,2,0,0,0,44,2,1,3,2,40.2,0.31,-1.8,-0.07,216,537,40.2,769,108,49.3,40.5,219,72.1,53.1,241,19,7.9,26,0.96,15.9,644,988,65.2,21960,14163,88,89,98.9,244,251,97.2,308,643,47.9,0,0.1,-0.1,2,18,0,0,0
2022,"Barcelona","La Liga","Marc-André ter Stegen","GER","GK","29-339",1992,"https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen",27,27,27,2430,27,26,0.96,83,57,68.7,15,8,4,9,33.3,0,0,0,0,NA,26,0,0,6,0,25.7,0.31,-0.3,-0.01,170,283,60.1,850,106,26,29.6,171,36.3,34.1,181,11,6.1,7,0.26,12.9,890,1021,87.2,23687,13586,165,167,98.8,447,454,98.5,270,392,68.9,0,0,0,0,7,0,0,2
